;ncbi_gene_ID;HGNC;name;summary;ensembl_gene_id;refseq_accession;uniprot_ids;omim_id;orphanet;mane_select;gene_ID
17;23291;FBXW11;F-box and WD repeat domain containing 11;This gene encodes a member of the F-box protein family which is characterized by an approximately 40 amino acid motif, the F-box. The F-box proteins constitute one of the four subunits of ubiquitin protein ligase complex called SCFs (SKP1-cullin-F-box), which function in phosphorylation-dependent ubiquitination. The F-box proteins are divided into 3 classes: Fbws containing WD-40 domains, Fbls containing leucine-rich repeats, and Fbxs containing either different protein-protein interaction modules or no recognizable motifs. The protein encoded by this gene belongs to the Fbws class and, in addition to an F-box, contains multiple WD40 repeats. This gene contains at least 14 exons, and its alternative splicing generates 3 transcript variants diverging at the presence/absence of two alternate exons. [provided by RefSeq, Jul 2008];ENSG00000072803;NM_012300;Q9UKB1;605651;;ENST00000517395.6|NM_001378974.1;gene_ID_17
18;50943;FOXP3;forkhead box P3~Name Same As:- HGNC:13781;The protein encoded by this gene is a member of the forkhead/winged-helix family of transcriptional regulators. Defects in this gene are the cause of immunodeficiency polyendocrinopathy, enteropathy, X-linked syndrome (IPEX), also known as X-linked autoimmunity-immunodeficiency syndrome. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008];ENSG00000049768;NM_014009;Q9BZS1;300292;121913.0;ENST00000376207.10|NM_014009.4;gene_ID_18
19;65991;FUNDC2;FUN14 domain containing 2;Enables phosphatidylinositol-3,4,5-trisphosphate binding activity. Involved in intracellular triglyceride homeostasis. Located in mitochondrion. [provided by Alliance of Genome Resources, Jul 2025];ENSG00000165775;NM_023934;Q9BWH2;301042;;ENST00000369498.8|NM_023934.4;gene_ID_19
20;2543;GAGE1;G antigen 1;This gene belongs to a family of genes that are expressed in a variety of tumors but not in normal tissues, except for the testis. The sequences of the family members are highly related but differ by scattered nucleotide substitutions. The antigenic peptide YRPRPRRY, which is also encoded by several other family members, is recognized by autologous cytolytic T lymphocytes. Nothing is presently known about the function of this protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2010];ENSG00000205777;NM_001468;P0DTW1;300594;;ENST00000381700.11|NM_001040663.4;gene_ID_20
21;102724473;GAGE10;G antigen 10;0;ENSG00000215274;NM_001098413;A6NGK3;300737;;ENST00000407599.4|NM_001098413.4;gene_ID_21
22;2703;GJA8;gap junction protein alpha 8;This gene encodes a transmembrane connexin protein that is necessary for lens growth and maturation of lens fiber cells. The encoded protein is a component of gap junction channels and functions in a calcium and pH-dependent manner. Mutations in this gene have been associated with zonular pulverulent cataracts, nuclear progressive cataracts, and cataract-microcornea syndrome. [provided by RefSeq, Dec 2009];ENSG00000121634;NM_005267;P48165;600897;122118.0;ENST00000369235.2|NM_005267.5;gene_ID_22
23;11146;GLMN;glomulin, FKBP associated protein;This gene encodes a phosphorylated protein that is a member of a Skp1-Cullin-F-box-like complex. The protein is essential for normal development of the vasculature and mutations in this gene have been associated with glomuvenous malformations, also called glomangiomas. Multiple splice variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2016];ENSG00000174842;NM_007070;Q92990;601749;122172.0;ENST00000370360.8|NM_053274.3;gene_ID_23
24;283767;GOLGA6L1;golgin A6 family like 1;0;ENSG00000273976;NM_001001413;Q8N7Z2;;;ENST00000614055.2|NM_001001413.3;gene_ID_24
25;8924;HERC2;HECT and RLD domain containing E3 ubiquitin protein ligase 2;This gene belongs to the HERC gene family that encodes a group of unusually large proteins, which contain multiple structural domains. All members have at least 1 copy of an N-terminal region showing homology to the cell cycle regulator RCC1 and a C-terminal HECT (homologous to E6-AP C terminus) domain found in a number of E3 ubiquitin protein ligases. Genetic variations in this gene are associated with skin/hair/eye pigmentation variability. Multiple pseudogenes of this gene are located on chromosomes 15 and 16. [provided by RefSeq, Mar 2012];ENSG00000128731;NM_004667;O95714;605837;331681.0;ENST00000261609.13|NM_004667.6;gene_ID_25
26;7290;HIRA;histone cell cycle regulator;This gene encodes a histone chaperone that preferentially places the variant histone H3.3 in nucleosomes. Orthologs of this gene in yeast, flies, and plants are necessary for the formation of transcriptionally silent heterochomatin. This gene plays an important role in the formation of the senescence-associated heterochromatin foci. These foci likely mediate the irreversible cell cycle changes that occur in senescent cells. It is considered the primary candidate gene in some haploinsufficiency syndromes such as DiGeorge syndrome, and insufficient production of the gene may disrupt normal embryonic development. [provided by RefSeq, Jul 2008];ENSG00000100084;NM_003325;P54198;600237;286557.0;ENST00000263208.5|NM_003325.4;gene_ID_26
27;3097;HIVEP2;HIVEP zinc finger 2;This gene encodes a member of a family of closely related, large, zinc finger-containing transcription factors. The encoded protein regulates transcription by binding to regulatory regions of various cellular and viral genes that maybe involved in growth, development and metastasis. The protein contains the ZAS domain comprised of two widely separated regions of zinc finger motifs, a stretch of highly acidic amino acids and a serine/threonine-rich sequence. [provided by RefSeq, Nov 2012];ENSG00000010818;NM_006734;P31629;143054;470458.0;ENST00000367603.8|NM_006734.4;gene_ID_27
28;3145;HMBS;hydroxymethylbilane synthase;This gene encodes a member of the hydroxymethylbilane synthase superfamily. The encoded protein is the third enzyme of the heme biosynthetic pathway and catalyzes the head to tail condensation of four porphobilinogen molecules into the linear hydroxymethylbilane. Mutations in this gene are associated with the autosomal dominant disease acute intermittent porphyria. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008];ENSG00000256269;NM_000190;P08397;609806;122438.0;ENST00000652429.1|NM_000190.4;gene_ID_28
29;6928;HNF1B;HNF1 homeobox B;This gene encodes a member of the homeodomain-containing superfamily of transcription factors. The protein binds to DNA as either a homodimer, or a heterodimer with the related protein hepatocyte nuclear factor 1-alpha. The gene has been shown to function in nephron development, and regulates development of the embryonic pancreas. Mutations in this gene result in renal cysts and diabetes syndrome and noninsulin-dependent diabetes mellitus, and expression of this gene is altered in some types of cancer. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Sep 2009];ENSG00000275410;NM_000458;P35680;189907;158588.0;ENST00000617811.5|NM_000458.4;gene_ID_29
30;10075;HUWE1;HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1;This gene encodes a protein containing a C-terminal HECT (E6AP type E3 ubiquitin protein ligase) domain that functions as an E3 ubiquitin ligase. The encoded protein is required for the ubiquitination and subsequent degradation of the anti-apoptotic protein Mcl1 (myeloid cell leukemia sequence 1 (BCL2-related)). This protein also ubiquitinates the p53 tumor suppressor, core histones, and DNA polymerase beta. Mutations in this gene are associated with Turner type X-linked syndromic cognitive disability. [provided by RefSeq, Aug 2013];ENSG00000086758;NM_031407;Q7Z6Z7;300697;209314.0;ENST00000262854.11|NM_031407.7;gene_ID_30
31;284058;KANSL1;KAT8 regulatory NSL complex subunit 1;This gene encodes a nuclear protein that is a subunit of two protein complexes involved with histone acetylation, the MLL1 complex and the NSL1 complex. The encoded protein has been implicated in a variety of cellular processes including enhancer regulation, cell proliferation, and mitosis. Mutations in this gene are associated with Koolen-de Vries Syndrome. [provided by RefSeq, May 2022];ENSG00000120071;NM_015443;Q7Z3B3;612452;303739.0;ENST00000432791.7|NM_015443.4;gene_ID_31
32;7994;KAT6A;lysine acetyltransferase 6A;This gene encodes a member of the MOZ, YBFR2, SAS2, TIP60 family of histone acetyltransferases. The protein is composed of a nuclear localization domain, a double C2H2 zinc finger domain that binds to acetylated histone tails, a histone acetyl-transferase domain, a glutamate/aspartate-rich region, and a serine- and methionine-rich transactivation domain. It is part of a complex that acetylates lysine-9 residues in histone 3, and in addition, it acts as a co-activator for several transcription factors. Allelic variants of this gene are associated with an autosomal dominant form of cognitive disability. Chromosomal translocations of this gene are associated with acute myeloid leukemia. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2017];ENSG00000083168;NM_006766;Q92794;601408;376575.0;ENST00000265713.8|NM_006766.5;gene_ID_32
33;547;KIF1A;kinesin family member 1A;The protein encoded by this gene is a member of the kinesin family and functions as an anterograde motor protein that transports membranous organelles along axonal microtubules. Mutations at this locus have been associated with spastic paraplegia-30 and hereditary sensory neuropathy IIC. Alternatively spliced transcript variants encoding distinct isoforms have been described. [provided by RefSeq, Apr 2012];ENSG00000130294;NM_138483;Q12756;601255;279771.0;ENST00000498729.9|NM_001244008.2;gene_ID_33
34;3835;KIF22;kinesin family member 22;The protein encoded by this gene is a member of the kinesin-like protein family. The family members are microtubule-dependent molecular motors that transport organelles within cells and move chromosomes during cell division. The C-terminal half of this protein has been shown to bind DNA. Studies with the Xenopus homolog suggests its essential role in metaphase chromosome alignment and maintenance. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012];ENSG00000079616;NM_001256269;Q14807;603213;286634.0;ENST00000160827.9|NM_007317.3;gene_ID_34
35;27040;LAT;linker for activation of T cells;The protein encoded by this gene is phosphorylated by ZAP-70/Syk protein tyrosine kinases following activation of the T-cell antigen receptor (TCR) signal transduction pathway. This transmembrane protein localizes to lipid rafts and acts as a docking site for SH2 domain-containing proteins. Upon phosphorylation, this protein recruits multiple adaptor proteins and downstream signaling molecules into multimolecular signaling complexes located near the site of TCR engagement. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008];ENSG00000213658;NM_001014987;O43561;602354;;ENST00000395456.7|NM_001014987.2;gene_ID_35
36;4052;LTBP1;latent transforming growth factor beta binding protein 1;The protein encoded by this gene belongs to the family of latent TGF-beta binding proteins (LTBPs). The secretion and activation of TGF-betas is regulated by their association with latency-associated proteins and with latent TGF-beta binding proteins. The product of this gene targets latent complexes of transforming growth factor beta to the extracellular matrix, where the latent cytokine is subsequently activated by several different mechanisms. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008];ENSG00000049323;NM_206943;Q14766;150390;;ENST00000404816.7|NM_206943.4;gene_ID_36
37;8216;LZTR1;leucine zipper like post translational regulator 1;This gene encodes a member of the BTB-kelch superfamily. Initially described as a putative transcriptional regulator based on weak homology to members of the basic leucine zipper-like family, the encoded protein subsequently has been shown to localize exclusively to the Golgi network where it may help stabilize the Gogli complex. Deletion of this gene may be associated with DiGeorge syndrome. [provided by RefSeq, Jul 2008];ENSG00000099949;NM_006767;Q8N653;600574;369810.0;ENST00000646124.2|NM_006767.4;gene_ID_37
38;54551;MAGEL2;MAGE family member L2;Prader-Willi syndrome (PWS) is caused by the loss of expression of imprinted genes in chromosome 15q11-q13 region. Affected individuals exhibit neonatal hypotonia, developmental delay, and childhood-onset obesity. Necdin (NDN), a gene involved in the terminal differentiation of neurons, localizes to this region of the genome and has been implicated as one of the genes responsible for the etiology of PWS. This gene is structurally similar to NDN, is also localized to the PWS chromosomal region, and is paternally imprinted, suggesting a possible role for it in PWS. [provided by RefSeq, Oct 2010];ENSG00000254585;NM_019066;Q9UJ55;605283;123324.0;ENST00000650528.1|NM_019066.5;gene_ID_38
39;4204;MECP2;methyl-CpG binding protein 2;DNA methylation is the major modification of eukaryotic genomes and plays an essential role in mammalian development. Human proteins MECP2, MBD1, MBD2, MBD3, and MBD4 comprise a family of nuclear proteins related by the presence in each of a methyl-CpG binding domain (MBD). Each of these proteins, with the exception of MBD3, is capable of binding specifically to methylated DNA. MECP2, MBD1 and MBD2 can also repress transcription from methylated gene promoters. In contrast to other MBD family members, MECP2 is X-linked and subject to X inactivation. MECP2 is dispensible in stem cells, but is essential for embryonic development. MECP2 gene mutations are the cause of most cases of Rett syndrome, a progressive neurologic developmental disorder and one of the most common causes of cognitive disability in females. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Oct 2015];ENSG00000169057;NM_004992;P51608;300005;123186.0;ENST00000453960.7|NM_001110792.2;gene_ID_39
40;9968;MED12;mediator complex subunit 12;The initiation of transcription is controlled in part by a large protein assembly known as the preinitiation complex. A component of this preinitiation complex is a 1.2 MDa protein aggregate called Mediator. This Mediator component binds with a CDK8 subcomplex which contains the protein encoded by this gene, mediator complex subunit 12 (MED12), along with MED13, CDK8 kinase, and cyclin C. The CDK8 subcomplex modulates Mediator-polymerase II interactions and thereby regulates transcription initiation and reinitation rates. The MED12 protein is essential for activating CDK8 kinase. Defects in this gene cause X-linked Opitz-Kaveggia syndrome, also known as FG syndrome, and Lujan-Fryns syndrome. [provided by RefSeq, Aug 2009];ENSG00000184634;NM_005120;Q93074;300188;138486.0;ENST00000374080.8|NM_005120.3;gene_ID_40
41;4593;MUSK;muscle associated receptor tyrosine kinase;This gene encodes a muscle-specific tyrosine kinase receptor. The encoded protein may play a role in clustering of the acetylcholine receptor in the postsynaptic neuromuscular junction. Mutations in this gene have been associated with congenital myasthenic syndrome. Alternatively spliced transcript variants have been described.[provided by RefSeq, Oct 2009];ENSG00000030304;NM_001166280;O15146;601296;160311.0;ENST00000374448.9|NM_005592.4;gene_ID_41
42;128240;NAXE;NAD(P)HX epimerase;The product of this gene interacts with apolipoprotein A-I (apoA-I), the major apolipoprotein of high-density lipoproteins (HDLs). It is secreted into some bodily fluids, and its synthesis and secretion are stimulated in vitro by incubating cells with apoA-I. The human genome contains related pseudogenes. [provided by RefSeq, Jul 2008];ENSG00000163382;NM_144772;Q8NCW5;608862;;ENST00000368235.8|NM_144772.3;gene_ID_42
43;200030;NBPF11;NBPF member 11;Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Jul 2025];ENSG00000263956;NM_183372;Q86T75;614001;;ENST00000682118.1|NM_001385469.3;gene_ID_43
44;100288142;NBPF20;NBPF member 20;This gene is a member of the neuroblastoma breakpoint family (NBPF) which consists of dozens of recently duplicated genes primarily located in segmental duplications on human chromosome 1. This gene family has experienced its greatest expansion within the human lineage and has expanded, to a lesser extent, among primates in general. Members of this gene family are characterized by tandemly repeated copies of DUF1220 protein domains. Gene copy number variations in the human chromosomal region 1q21.1, where most DUF1220 domains are located, have been implicated in a number of developmental and neurogenetic diseases such as microcephaly, macrocephaly, autism, schizophrenia, cognitive disability, congenital heart disease, neuroblastoma, and congenital kidney and urinary tract anomalies. Altered expression of some gene family members is associated with several types of cancer. This gene family contains numerous pseudogenes. [provided by RefSeq, Mar 2014];ENSG00000162825;NM_001278267;P0DPF2;614007;;ENST00000698833.1|NM_001397211.1;gene_ID_44
45;54820;NDE1;nudE neurodevelopment protein 1;This gene encodes a member of the nuclear distribution E (NudE) family of proteins. The encoded protein is localized at the centrosome and interacts with other centrosome components as part of a multiprotein complex that regulates dynein function. This protein plays an essential role in microtubule organization, mitosis and neuronal migration. Mutations in this gene cause lissencephaly 4, a disorder characterized by lissencephaly, severe brain atrophy, microcephaly, and severe cognitive disability. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2012];ENSG00000072864;NM_017668;Q9NXR1;609449;281616.0;ENST00000396354.6|NM_017668.3;gene_ID_45
46;4695;NDUFA2;NADH:ubiquinone oxidoreductase subunit A2;The encoded protein is a subunit of the hydrophobic protein fraction of the NADH:ubiquinone oxidoreductase (complex 1), the first enzyme complex in the electron transport chain located in the inner mitochondrial membrane, and may be involved in regulating complex I activity or its assembly via assistance in redox processes. Mutations in this gene are associated with Leigh syndrome, an early-onset progressive neurodegenerative disorder. Alternative splicing results in multiple transcript variants.[provided by RefSeq, May 2010];ENSG00000131495;NM_002488;O43678;602137;252455.0;ENST00000252102.9|NM_002488.5;gene_ID_46
47;401115;NICOL1;NELL2 interacting cell ontogeny regulator 1;Predicted to enable mRNA 3'-UTR binding activity. Predicted to be involved in 3'-UTR-mediated mRNA stabilization and spermatogenesis. Predicted to be located in perinuclear region of cytoplasm. Predicted to be active in extracellular space. [provided by Alliance of Genome Resources, Jul 2025];ENSG00000243449;NM_001141936;Q5BLP8;614690;;ENST00000409248.10|NM_001168243.4;gene_ID_47
48;123606;NIPA1;NIPA magnesium transporter 1;This gene encodes a magnesium transporter that associates with early endosomes and the cell surface in a variety of neuronal and epithelial cells. This protein may play a role in nervous system development and maintenance. Multiple transcript variants encoding different isoforms have been found for this gene. Mutations in this gene have been associated with autosomal dominant spastic paraplegia 6. [provided by RefSeq, Nov 2008];ENSG00000170113;NM_144599;Q7RTP0;608145;123785.0;ENST00000337435.9|NM_144599.5;gene_ID_48
49;50814;NSDHL;NAD(P) dependent 3-beta-hydroxysteroid dehydrogenase NSDHL;The protein encoded by this gene is localized in the endoplasmic reticulum and is involved in cholesterol biosynthesis. Mutations in this gene are associated with CHILD syndrome, which is a X-linked dominant disorder of lipid metabolism with disturbed cholesterol biosynthesis, and typically lethal in males. Alternatively spliced transcript variants with differing 5' UTR have been found for this gene. [provided by RefSeq, Jul 2008];ENSG00000147383;NM_015922;Q15738;300275;123942.0;ENST00000370274.8|NM_015922.3;gene_ID_49
50;4983;OPHN1;oligophrenin 1;This gene encodes a Rho-GTPase-activating protein that promotes GTP hydrolysis of Rho subfamily members. Rho proteins are important mediators of intracellular signal transduction, which affects cell migration and cell morphogenesis. Mutations in this gene are responsible for OPHN1-related X-linked cognitive disability with cerebellar hypoplasia and distinctive facial dysmorhphism. [provided by RefSeq, Jul 2008];ENSG00000079482;NM_002547;O60890;300127;159936.0;ENST00000355520.6|NM_002547.3;gene_ID_50
51;7849;PAX8;paired box 8;This gene encodes a member of the paired box (PAX) family of transcription factors. Members of this gene family typically encode proteins that contain a paired box domain, an octapeptide, and a paired-type homeodomain. This nuclear protein is involved in thyroid follicular cell development and expression of thyroid-specific genes. Mutations in this gene have been associated with thyroid dysgenesis, thyroid follicular carcinomas and atypical follicular thyroid adenomas. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Mar 2010];ENSG00000125618;NM_003466;Q06710;167415;124103.0;ENST00000429538.8|NM_003466.4;gene_ID_51
